Voltage(V)	Current(A)
-0.091935	-0.007862411
-0.084195	-0.007855318
-0.076455	-0.007846162
-0.06872	-0.007857353
-0.06098	-0.007853946
-0.05324	-0.007846453
-0.045505	-0.007842683
-0.037765	-0.007843245
-0.030025	-0.007839221
-0.022285	-0.007840474
-0.01455	-0.007849348
-0.00681	-0.007849159
0.00093	-0.007850396
0.008665	-0.00784422
0.016405	-0.007846061
0.024145	-0.007845051
0.031885	-0.007844231
0.03962	-0.007843203
0.04736	-0.007849311
0.0551	-0.007845896
0.062835	-0.007832842
0.070575	-0.007840003
0.078315	-0.007839153
0.086055	-0.0078455
0.09379	-0.007838754
0.10153	-0.007832907
0.10927	-0.007833847
0.117005	-0.00783061
0.124745	-0.007835905
0.132485	-0.007834815
0.14022	-0.00783424
0.14796	-0.007833334
0.1557	-0.007824404
0.16344	-0.007818726
0.171175	-0.007829015
0.178915	-0.00783262
0.186655	-0.007833046
0.19439	-0.007822519
0.20213	-0.007814892
0.20987	-0.007812503
0.2176	-0.007815909
0.22535	-0.007812258
0.2331	-0.007808048
0.2408	-0.007806796
0.24855	-0.007801859
0.2563	-0.00780338
0.26405	-0.007798674
0.2718	-0.007791733
0.2795	-0.007789514
0.28725	-0.007801464
0.295	-0.007793719
0.30275	-0.007789347
0.31045	-0.007787473
0.3182	-0.00778369
0.32595	-0.007783551
0.3337	-0.007782351
0.3414	-0.00777625
0.34915	-0.007769161
0.3569	-0.00776709
0.36465	-0.007758841
0.3724	-0.007755812
0.3801	-0.007750712
0.38785	-0.007742707
0.3956	-0.007732366
0.40335	-0.007726029
0.41105	-0.007715454
0.4188	-0.007703038
0.42655	-0.007687527
0.4343	-0.007679445
0.44205	-0.007652422
0.44975	-0.007634417
0.4575	-0.00761471
0.46525	-0.007590117
0.473	-0.007553269
0.4807	-0.007517063
0.48845	-0.007459488
0.4962	-0.007404201
0.50395	-0.007332269
0.51165	-0.007240717
0.5194	-0.007129354
0.52715	-0.006985149
0.5349	-0.006809215
0.54265	-0.006603374
0.55035	-0.006322517
0.5581	-0.005982604
0.56585	-0.005560087
0.5736	-0.005041462
0.5813	-0.00439802
0.58905	-0.003613302
0.5968	-0.002649518
0.60455	-0.001488983
0.61225	-9.111247e-05
0.62	0.001590233
0.62775	0.003609939
0.6355	0.006015683
0.64325	0.008846128
0.65095	0.009429054
0.6587	0.009429056
0.66645	0.009429052
