Voltage(V)	Current(A)
-0.10418	-0.08358132
-0.09541	-0.08371855
-0.08664	-0.08364858
-0.07787	-0.08362394
-0.0691	-0.08359191
-0.06033	-0.08355388
-0.051565	-0.0836862
-0.042795	-0.08359741
-0.034025	-0.0836579
-0.025255	-0.0835874
-0.016485	-0.08363599
-0.007715	-0.08370453
0.00105	-0.08368457
0.00982	-0.0835932
0.01859	-0.08349676
0.02736	-0.0835424
0.03613	-0.08358654
0.0449	-0.08370789
0.05367	-0.08369462
0.062435	-0.08357852
0.071205	-0.08365028
0.079975	-0.08356635
0.088745	-0.08361877
0.097515	-0.08366405
0.106285	-0.08354767
0.11505	-0.08368713
0.12382	-0.08362073
0.13259	-0.08362733
0.14136	-0.08357167
0.15013	-0.08354314
0.1589	-0.0835549
0.16767	-0.08352282
0.176435	-0.08360021
0.185205	-0.08356325
0.193975	-0.08349726
0.202745	-0.08351821
0.2115	-0.0835632
0.2203	-0.08361572
0.22905	-0.08345065
0.2378	-0.08348089
0.2466	-0.08337225
0.25535	-0.08346037
0.26415	-0.08347541
0.2729	-0.08342075
0.28165	-0.08349591
0.29045	-0.08340827
0.2992	-0.08345543
0.308	-0.08337502
0.31675	-0.0833616
0.3255	-0.08340415
0.3343	-0.08326802
0.34305	-0.08342171
0.3518	-0.0833419
0.3606	-0.0832026
0.36935	-0.08324041
0.37815	-0.08316696
0.3869	-0.08315973
0.39565	-0.08307747
0.40445	-0.08302175
0.4132	-0.08306705
0.42195	-0.08295009
0.43075	-0.08292814
0.4395	-0.08286287
0.4483	-0.08277931
0.45705	-0.08263986
0.4658	-0.08253082
0.4746	-0.08246659
0.48335	-0.08215591
0.49215	-0.08206307
0.5009	-0.08192185
0.50965	-0.08156054
0.51845	-0.08125833
0.5272	-0.08081038
0.53595	-0.08041962
0.54475	-0.07976145
0.5535	-0.07897732
0.5623	-0.07816658
0.57105	-0.07702682
0.5798	-0.07573808
0.5886	-0.07410637
0.59735	-0.07206619
0.60615	-0.06961664
0.6149	-0.06665479
0.62365	-0.06311377
0.63245	-0.05874553
0.6412	-0.05367861
0.64995	-0.04758058
0.65875	-0.04027233
0.6675	-0.03189941
0.6763	-0.02208422
0.68505	-0.01100416
0.6938	0.001544567
0.7026	0.01567125
0.71135	0.03097521
0.72015	0.04765066
0.7289	0.06541508
0.73765	0.08434767
0.74645	0.1003396
0.7552	0.1003396
